"동별(1)",동별(2),동별(3),2015,2016,2017,2018,2019,2020,2021
"합계",송파구,송파2동,-,7,8,8,8,8,...
"합계",송파구,석촌동,-,3,3,3,3,3,...
"합계",송파구,삼전동,-,5,5,5,5,5,...
"합계",송파구,가락본동,-,10,10,10,10,10,...
"합계",송파구,가락1동,-,2,2,2,4,7,...
"합계",송파구,가락2동,-,10,10,10,10,10,...
"합계",송파구,문정1동,-,6,6,6,6,6,...
"합계",송파구,문정2동,-,4,5,5,5,5,...
"합계",송파구,잠실본동,-,6,6,6,6,6,...
"합계",송파구,잠실4동,-,6,6,6,4,4,...
"합계",송파구,잠실6동,-,5,5,5,5,5,...
"합계",송파구,잠실7동,-,2,2,2,2,2,...
"합계",송파구,잠실2동,-,3,3,3,3,3,...
"합계",송파구,잠실3동,-,3,3,3,3,3,...
"합계",송파구,장지동,-,20,20,20,19,19,...
"합계",송파구,위례동,-,3,5,8,8,8,...
"합계",강동구,소계,140,135,129,138,138,134,136
"합계",강동구,강일동,-,-,-,...,14,14,-
"합계",강동구,상일동,-,-,-,...,6,6,-
"합계",강동구,명일1동,-,-,-,...,6,6,...
"합계",강동구,명일2동,-,-,-,...,8,7,...
"합계",강동구,고덕1동,-,-,-,...,10,8,...
"합계",강동구,고덕2동,-,-,-,...,2,3,...
"합계",강동구,암사2동,-,-,-,...,3,3,...
"합계",강동구,암사3동,-,-,-,...,7,7,...
"합계",강동구,천호1동,-,-,-,...,6,6,...
"합계",강동구,천호3동,-,-,-,...,12,12,...
"합계",강동구,성내1동,-,-,-,...,7,6,...
"합계",강동구,성내2동,-,-,-,...,5,5,...
"합계",강동구,성내3동,-,-,-,...,4,4,...
"합계",강동구,둔촌1동,-,-,-,...,-,-,...
"합계",강동구,둔촌2동,-,-,-,...,14,14,...
"합계",강동구,암사1동,-,-,-,...,11,11,...
"합계",강동구,천호2동,-,-,-,...,10,8,...
"합계",강동구,길동,-,-,-,...,13,14,...
"합계",강동구,강일동,-,-,-,-,-,-,...
"합계",강동구,상일1동,-,-,-,-,-,-,...
"합계",강동구,상일2동,-,-,-,-,-,-,.
